J1,J,R_y,ke_max,Delta,Rmax_max,Rmax_min,phase
0.013103706971044484,0.01,1.5,0.0600984,0.36062000000000016,1.49988,1.13926,1
0.015874010519681996,0.01,2.0,0.271473,0.6084399999999999,1.99982,1.39138,1
0.02080083823051904,0.01,3.0,1.19433,0.9580099999999998,2.99977,2.04176,1
0.02519842099789746,0.01,4.0,2.59782,1.1889000000000003,3.99968,2.81078,1
0.02924017738212866,0.01,5.0,3.62055,1.3365199999999997,4.99961,3.66309,1
0.03301927248894626,0.01,6.0,4.7482,1.4478499999999999,5.99954,4.55169,1
0.03659305710022971,0.01,7.0,5.91783,1.5390699999999997,6.99946,5.46039,1
0.04,0.01,8.0,7.13024,1.6164100000000001,7.99938,6.38297,1
0.04326748710922225,0.01,9.0,8.37678,1.6840699999999993,8.99931,7.31524,1
0.04641588833612779,0.01,10.0,9.65803,1.7444500000000005,9.99923,8.25478,1
0.02154434690031884,0.1,0.1,0.00272366,0.08644650000000001,0.14354,0.0570935,1
0.03419951893353395,0.1,0.2,0.0334032,0.232896,0.43182,0.198924,1
0.04481404746557165,0.1,0.3,0.0403816,0.25300700000000004,0.552834,0.299827,1
0.05428835233189814,0.1,0.4,0.0371573,0.248521,0.648446,0.399925,1
0.06299605249474366,0.1,0.5,0.028783,0.224796,0.724615,0.499819,1
0.07113786608980126,0.1,0.6,0.0188003,0.1862560000000001,0.786051,0.599795,1
0.07883735163105243,0.1,0.7,0.00979621,0.13768600000000009,0.837586,0.6999,1
0.08617738760127536,0.1,0.8,0.00319145,0.08020699999999992,0.880107,0.7999,1
0.09321697517861577,0.1,0.9,0.000135967,0.016894999999999993,0.916753,0.899858,1
0.13103706971044485,0.1,1.5,0.0352144,0.27180000000000004,1.49988,1.22808,1
0.15874010519681994,0.1,2.0,0.183927,0.54758,1.99982,1.45224,1
0.2080083823051904,0.1,3.0,0.877921,0.88333,2.99977,2.11644,1
0.25198420997897464,0.1,4.0,1.98994,1.1017000000000001,3.99968,2.89798,1
0.2924017738212866,0.1,5.0,2.90329,1.2504899999999997,4.99961,3.74912,1
0.33019272488946266,0.1,6.0,3.91593,1.3675599999999992,5.99954,4.63198,1
0.36593057100229714,0.1,7.0,4.99065,1.4661,6.99946,5.53336,1
0.4,0.1,8.0,6.11122,1.5515800000000004,7.99938,6.4478,1
0.4326748710922225,0.1,9.0,7.27539,1.6274699999999998,8.99931,7.37184,1
0.46415888336127786,0.1,10.0,8.4743,1.6959,9.99923,8.30333,1
0.04308869380063768,0.2,0.1,0.000879972,0.043528500000000005,0.100622,0.0570935,1
0.0683990378670679,0.2,0.2,0.0329303,0.23217300000000002,0.431097,0.198924,1
0.0896280949311433,0.2,0.3,0.0373116,0.24866300000000002,0.54849,0.299827,1
0.10857670466379628,0.2,0.4,0.0322168,0.23724600000000007,0.637171,0.399925,1
0.12599210498948732,0.2,0.5,0.0229707,0.20639299999999994,0.706212,0.499819,1
0.14227573217960252,0.2,0.6,0.0131188,0.16061900000000007,0.760414,0.599795,1
0.15767470326210486,0.2,0.7,0.00524232,0.10357100000000008,0.803471,0.6999,1
0.17235477520255071,0.2,0.8,0.000662817,0.03859999999999997,0.8385,0.7999,1
0.18643395035723154,0.2,0.9,6.92584e-07,0.0002589999999998982,0.900117,0.899858,0
0.2620741394208897,0.2,1.5,0.0162434,0.18649000000000004,1.49988,1.31339,1
0.3174802103936399,0.2,2.0,0.11341,0.4558,1.99982,1.54402,1
0.4160167646103808,0.2,3.0,0.5811,0.7829699999999997,2.99977,2.2168,1
0.5039684199579493,0.2,4.0,1.33514,0.9864000000000002,3.99968,3.01328,1
0.5848035476425733,0.2,5.0,2.06522,1.1339099999999998,4.99961,3.8657,1
0.6603854497789253,0.2,6.0,2.88764,1.2545599999999997,5.99954,4.74498,1
