t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,1.98755,-4.0558,-0.975352,-4.03929,-0.975862,1.00005,0.0187101,0.0187101,0.00541952,-0.0382968
0.02,1.0,1.9874,-4.06579,-0.970523,-4.04877,-0.970881,1.00003,2.00158,0.0184287,0.00385362,-0.936685
0.03,1.0,1.97438,-4.04667,-0.96596,-4.02842,-0.966286,1.00005,1.99214,0.0182506,0.00435732,-0.948934
0.04,1.0,1.96136,-4.02676,-0.96121,-4.01016,-0.961501,1.00011,1.98261,0.0181063,0.00590101,-0.956349
0.05,1.0,1.94811,-4.00586,-0.956222,-3.98967,-0.95651,1.00016,1.97302,0.0179807,0.00760917,-0.96122
0.06,1.0,1.93451,-3.98389,-0.950977,-3.96635,-0.951266,1.00025,1.96339,0.0178682,0.00899559,-0.964703
0.07,1.0,1.92054,-3.96078,-0.945463,-3.94373,-0.945765,1.00035,1.95373,0.0177659,0.0111034,-0.966944
0.08,1.0,1.90613,-3.93657,-0.939683,-3.92026,-0.939987,1.00045,1.94405,0.017672,0.0127921,-0.968705
0.09,1.0,1.89133,-3.91132,-0.933656,-3.89464,-0.933979,1.00061,1.93436,0.017585,0.0153667,-0.969818
0.1,1.0,1.8761,-3.88499,-0.927372,-3.86962,-0.927719,1.00077,1.92466,0.0175041,0.0182179,-0.970432
0.11,1.0,1.8605,-3.85772,-0.920865,-3.84172,-0.921229,1.00096,1.91495,0.0174283,0.0203883,-0.970839
0.12,1.0,1.84453,-3.82958,-0.914149,-3.81407,-0.914549,1.00119,1.90524,0.0173569,0.0237694,-0.970904
0.13,1.0,1.82817,-3.80053,-0.907213,-3.78549,-0.907637,1.00143,1.89553,0.0172895,0.027497,-0.970805
0.14,1.0,1.8115,-3.77074,-0.900103,-3.75555,-0.900561,1.00172,1.88583,0.0172257,0.0301619,-0.970585
0.15,1.0,1.79451,-3.74023,-0.892822,-3.7258,-0.893311,1.00205,1.87612,0.0171651,0.0344614,-0.97004
0.16,1.0,1.7772,-3.70896,-0.885357,-3.69499,-0.885876,1.0024,1.86643,0.0171074,0.0391775,-0.969458
0.17,1.0,1.75964,-3.67712,-0.877759,-3.66255,-0.878324,1.00281,1.85673,0.0170523,0.0423348,-0.968751
0.18,1.0,1.74186,-3.64474,-0.87003,-3.63067,-0.870647,1.00327,1.84705,0.0169996,0.0476975,-0.967976
0.19,1.0,1.72386,-3.61183,-0.862175,-3.59657,-0.862803,1.00376,1.83738,0.016949,0.0535632,-0.96716
