t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02395,-4.10623,-0.980423,-4.09685,-0.982557,1.00003,2.01094,0.0158582,0.0144876,-0.89767
0.02,1.0,2.01981,-4.10275,-0.979356,-4.09095,-0.980825,1.0001,2.00202,0.0140193,0.00531525,-0.89289
0.03,1.0,2.01459,-4.0945,-0.977418,-4.08056,-0.978585,1.0002,1.99306,0.0128872,0.0086454,-0.900122
0.04,1.0,2.00824,-4.08319,-0.974772,-4.06966,-0.975605,1.00027,1.98399,0.0117696,0.0097618,-0.913232
0.05,1.0,2.00115,-4.06959,-0.971608,-4.05598,-0.972304,1.00033,1.97475,0.0107384,0.0052313,-0.934318
0.06,1.0,1.99337,-4.05416,-0.968023,-4.03809,-0.968646,1.00039,1.96536,0.00920247,0.00248234,-0.943902
0.07,1.0,1.98513,-4.03703,-0.964049,-4.02201,-0.96454,1.00038,1.95591,0.00771765,0.000857625,-0.943553
0.08,1.0,1.97642,-4.01845,-0.959739,-4.00395,-0.960148,1.00036,1.94649,0.00647381,-0.00228953,-0.938582
0.09,1.0,1.96748,-3.99864,-0.955144,-3.98322,-0.955519,1.00037,1.93709,0.00550555,0.00134571,-0.942183
0.1,1.0,1.95826,-3.97752,-0.950245,-3.96168,-0.950535,1.00037,1.9276,0.00472015,0.00630128,-0.957512
0.11,1.0,1.94907,-3.95576,-0.945197,-3.9406,-0.945426,1.00047,1.9179,0.00406536,0.00938585,-0.983687
0.12,1.0,1.93973,-3.93275,-0.939857,-3.91806,-0.940055,1.00055,1.90795,0.00351193,0.0139505,-1.00723
0.13,1.0,1.93062,-3.90929,-0.934412,-3.89506,-0.934564,1.00072,1.8978,0.00303284,0.0160294,-1.02548
0.14,1.0,1.9226,-3.88565,-0.928921,-3.86992,-0.929026,1.00091,1.88755,0.00264279,0.0201005,-1.02697
0.15,1.0,1.91463,-3.86088,-0.923146,-3.84613,-0.923234,1.0011,1.8773,0.00231612,0.0235513,-1.02171
0.16,1.0,1.90692,-3.83604,-0.917347,-3.82196,-0.91739,1.00134,1.86714,0.00205286,0.024073,-1.01093
0.17,1.0,1.89497,-3.80702,-0.910552,-3.79324,-0.910606,1.00161,1.85709,0.00184003,0.0276306,-0.999866
0.18,1.0,1.88091,-3.77595,-0.903256,-3.76109,-0.903241,1.00188,1.84713,0.00167812,0.0312946,-0.992107
0.19,1.0,1.86738,-3.74484,-0.895932,-3.73037,-0.895936,1.00221,1.83723,0.00155366,0.0326707,-0.987423
0.2,1.0,1.85432,-3.71478,-0.888848,-3.70108,-0.888877,1.00256,1.82736,0.00144334,0.0367191,-0.984581
0.21,1.0,1.84249,-3.68565,-0.881981,-3.67214,-0.882039,1.00293,1.81753,0.00136331,0.0408641,-0.981329
0.22,1.0,1.83104,-3.65685,-0.875195,-3.64322,-0.875146,1.00335,1.80773,0.00128822,0.0426508,-0.977634
0.23,1.0,1.81957,-3.62783,-0.868357,-3.61447,-0.868268,1.00381,1.79798,0.00123323,0.0472635,-0.973113
0.24,1.0,1.8085,-3.59894,-0.86155,-3.5849,-0.861491,1.00428,1.78826,0.00117795,0.0520846,-0.968504
0.25,1.0,1.79745,-3.56972,-0.854664,-3.55725,-0.854659,1.00481,1.77859,0.00113802,0.0543863,-0.965125
0.26,1.0,1.78624,-3.54033,-0.847738,-3.52737,-0.847708,1.0054,1.76895,0.00109749,0.059632,-0.96228
0.27,1.0,1.77525,-3.51072,-0.840757,-3.49745,-0.840746,1.00601,1.75933,0.00106451,0.0652385,-0.960671
0.28,1.0,1.7642,-3.4809,-0.833726,-3.46817,-0.833748,1.00666,1.74972,0.00103779,0.0678654,-0.960259
0.29,1.0,1.75315,-3.45069,-0.8266,-3.43815,-0.826634,1.0074,1.74012,0.00100927,0.0740637,-0.960432
