Oh,J,Phase
0.0010,0.0,0
0.0010,0.005,0
0.0010,0.01,0
0.0010,0.05,0
0.0010,0.1,0
0.0010,0.15,0
0.0010,0.2,0
0.0010,0.25,0
0.0010,0.3,0
0.0010,0.4,0
0.0010,0.5,0
0.0010,0.6,0
0.0010,0.7,0
0.0010,0.8,0
0.0010,0.9,0
0.0010,1.0,0
0.0016,0.0,0
0.0016,0.005,0
0.0016,0.01,0
0.0016,0.05,0
0.0016,0.1,0
0.0016,0.15,0
0.0016,0.2,0
0.0016,0.25,0
0.0016,0.3,0
0.0016,0.4,0
0.0016,0.5,0
0.0016,0.6,0
0.0016,0.7,0
0.0016,0.8,0
0.0016,0.9,0
0.0016,1.0,0
0.0025,0.0,0
0.0025,0.005,0
0.0025,0.01,0
0.0025,0.05,0
0.0025,0.1,0
0.0025,0.15,0
0.0025,0.2,0
0.0025,0.25,0
0.0025,0.3,0
0.0025,0.4,0
0.0025,0.5,0
0.0025,0.6,0
0.0025,0.7,0
0.0025,0.8,0
0.0025,0.9,0
0.0025,1.0,0
0.0040,0.0,0
0.0040,0.005,0
0.0040,0.01,0
0.0040,0.05,0
0.0040,0.1,0
0.0040,0.15,0
0.0040,0.2,0
0.0040,0.25,0
0.0040,0.3,0
0.0040,0.4,0
0.0040,0.5,0
0.0040,0.6,0
0.0040,0.7,0
0.0040,0.8,0
0.0040,0.9,0
0.0040,1.0,0
0.0063,0.0,0
0.0063,0.005,0
0.0063,0.01,0
0.0063,0.05,0
0.0063,0.1,0
0.0063,0.15,0
0.0063,0.2,0
0.0063,0.25,0
0.0063,0.3,0
0.0063,0.4,0
0.0063,0.5,0
0.0063,0.6,0
0.0063,0.7,0
0.0063,0.8,0
0.0063,0.9,0
0.0063,1.0,0
0.0100,0.0,0
0.0100,0.005,0
0.0100,0.01,0
0.0100,0.05,0
0.0100,0.1,0
0.0100,0.15,0
0.0100,0.2,0
0.0100,0.25,0
0.0100,0.3,0
0.0100,0.4,0
0.0100,0.5,0
0.0100,0.6,0
0.0100,0.7,0
