rhod,etad,gamma,V0,D0,Oh,We,Bo,F1,F1err
1.16E+03,0.01,0.061,1.863845037,0.0025,2.38E-02,1.65E+02,1.16E+00,0.850242534,0.016155682
1.16E+03,0.01,0.061,0.370817337,0.0025,2.38E-02,6.53E+00,1.16E+00,1.182661063,0.058250251
1.16E+03,0.01,0.061,0.644051165,0.0025,2.38E-02,1.97E+01,1.16E+00,0.92004613,0.023745024
1.16E+03,0.01,0.061,1.053901906,0.0025,2.38E-02,5.27E+01,1.16E+00,0.832397681,0.018974978
1.16E+03,0.01,0.061,1.161243767,0.0025,2.38E-02,6.40E+01,1.16E+00,0.825031721,0.015166694
1.16E+03,0.01,0.061,1.346652435,0.0025,2.38E-02,8.61E+01,1.16E+00,0.806505234,0.015393708
1.16E+03,0.01,0.061,1.649161316,0.0025,2.38E-02,1.29E+02,1.16E+00,0.803302127,0.013143497
1.16E+03,0.01,0.061,0.478159198,0.0025,2.38E-02,1.09E+01,1.16E+00,1.045382023,0.050744981
1.16E+03,0.01,0.061,0.80018478,0.0025,2.38E-02,3.04E+01,1.16E+00,0.861972809,0.031545939
1.16E+03,0.01,0.061,0.936801694,0.0025,2.38E-02,4.16E+01,1.16E+00,0.841670147,0.020699149
1.16E+03,0.01,0.061,1.502786051,0.0025,2.38E-02,1.07E+02,1.16E+00,0.816270712,0.027611765
1.16E+03,0.01,0.061,0.565984357,0.0025,2.38E-02,1.52E+01,1.16E+00,0.915362502,0.061223139
