rhod,etad,gamma,V0,D0,Oh,We,Bo,t1,t1err
1124,5.00E-03,0.061,0.4055234,0.0025,0.0121,7.575448047,1.13,0.250208978,0.058939951
1124,5.00E-03,0.061,0.518475316,0.0025,0.0121,12.38319339,1.13,0.334289961,0.077246763
1124,5.00E-03,0.061,0.613397035,0.0025,0.0121,17.33244494,1.13,0.404288196,0.05989681
1124,5.00E-03,0.061,0.698081244,0.0025,0.0121,22.44855673,1.13,0.225911407,0.075986091
1124,5.00E-03,0.061,0.864125977,0.0025,0.0121,34.39779523,1.13,0.257974872,0.071568822
1124,5.00E-03,0.061,1.015739714,0.0025,0.0121,47.52710389,1.13,0.263799048,0.10488364
1124,5.00E-03,0.061,1.14111733,0.0025,0.0121,59.98422978,1.13,0.236099451,0.046720427
1124,5.00E-03,0.061,1.265498804,0.0025,0.0121,73.77342781,1.13,0.227780667,0.022503674
1124,5.00E-03,0.061,1.458956914,0.0025,0.0121,98.05312014,1.13,0.238724127,0.025153086
1124,5.00E-03,0.061,1.628478839,0.0025,0.0121,122.163291,1.13,0.236963007,0.045164368
1124,5.00E-03,0.061,1.782777432,0.0025,0.0121,146.41,1.13,0.24107292,0.026183747
1124,5.00E-03,0.061,2.015826781,0.0025,0.0121,187.1901129,1.13,0.220367641,0.019134014
