We,F1,t1
1,2.763134568,0.301362684
2,1.703237616,0.300345342
3,1.578725957,0.299686317
4,1.308865959,0.299167686
5,1.29905362,0.297136206
6,1.177051809,0.29022123
7,1.172023879,0.281696087
8,1.082779913,0.273752411
9,1.100315912,0.266961765
10,1.038154163,0.26087997
11,1.054103593,0.255097708
12,1.007485172,0.249453134
13,1.02036483,0.244070994
14,0.994871109,0.239058595
15,1.000030962,0.234464664
16,0.970021406,0.230303912
18,0.957312038,0.22325236
19,0.971528366,0.220317683
20,0.956002978,0.217711512
22.5,0.955814048,0.212316347
25,0.937715391,0.20809749
27.5,0.938909242,0.20469886
30,0.934015266,0.201890562
35,0.925880036,0.197474247
40,0.921311503,0.194104258
45,0.911327613,0.191441917
50,0.911607084,0.18929245
55,0.910599361,0.187527308
60,0.900716944,0.186057988
65,0.906560058,0.184821438
70,0.902836106,0.183771438
75,0.908868431,0.182873284
77.5,0.92323725,0.182472587
80,0.896621578,0.182100385
80,0.917743125,0.182100385
82.5,0.897,0.181754256
85,0.903057553,0.181432033
90,0.902810878,0.180851795
100,0.902925806,0.17990551
110,0.904882388,0.179182667
120,0.898611797,0.178629338
125,0.891312459,0.178403856
130,0.903974175,0.178207332
140,0.903974175,0.177888887
150,0.887620744,0.177652685
175,0.886227591,0.177311162
200,0.888820481,0.17718884
250,0.887147016,0.177243418
300,0.887438541,0.177430886
400,0.887438541,0.17775844
500,0.889131628,0.177899265
750,0.8894652,0.178269041
800,0.889140038,0.178392943
