We,F1,F2,t2
1,,1.64E+00,0.383772313
2,,1.092932026,0.543649262
3,,0.867821115,0.66696649
4,,0.739788454,0.771473629
5,,0.655374275,0.864033592
6,,0.594739893,0.948159364
7,,0.548668905,1.025933246
8,,0.512242989,1.098708454
9,,0.482575772,1.167422025
10,,0.457851333,1.232753669
11,,0.436864726,1.295214229
12,,0.418782014,1.355198477
13,,0.403005952,1.41301839
14,,0.389096512,1.46892506
15,,0.376721671,1.523123654
16,,0.36562574,1.575783933
18,,0.346509887,1.677035209
19,,0.338201768,1.725847781
20,,0.330578876,1.773572645
22.5,,0.313985184,1.88860507
25,,0.300156123,1.998295178
27.5,,0.288417734,2.103410688
30,,0.278303575,2.204546282
35,,0.261699654,2.396679179
40,,0.248571805,2.577538834
45,,0.237879781,2.749121466
50,,0.228969127,2.912820726
55,,0.221405583,3.069635715
60,,0.214888598,3.220328418
65,,0.209202927,3.36549493
70,,0.204189984,3.505611694
75,,0.199730109,3.641066829
77.5,,0.197677926,3.707148937
80,,0.19573115,3.772181987
80,,0.19573115,3.772181987
82.5,,0.193881321,3.836198362
85,,0.192120884,3.899228008
90,,0.188841823,4.022436366
90,,0.188841823,4.022436366
100,,0.183100309,4.258118291
