We,F1,F2,t1,t2
2,1.743381432,0.946549403,0.229817254,0.55332856
4,1.353026201,0.517570687,0.224956626,0.782797355
6,1.218234182,0.420917568,0.219621733,0.959063652
8,1.13759595,0.405143377,0.21631665,1.107822781
10,1.091966944,0.363836294,0.214618741,1.239023885
12,1.053855111,0.297276241,0.21369887,1.357767541
14,1.025302263,0.267187822,0.212914535,1.467082473
16,1.008985505,0.251276335,0.211964376,1.56894116
18,0.999269913,0.228246814,0.210792264,1.664712981
20,0.990018235,0.217305962,0.209348,1.755394388
25,0.988159625,0.196087977,0.205288165,1.964359015
30,0.984935869,0.180459335,0.201501016,2.153774938
40,0.966296589,0.15840071,0.194096916,2.491329671
50,0.964763014,0.138138623,0.18654179,2.790043348
60,0.954938092,0.12068706,0.181990496,3.06105969
70,0.944466055,0.107263617,0.17968017,3.310930091
80,0.944699489,0.099252192,0.178595358,3.543887366
90,0.94229423,0.095078977,0.178216049,3.762823634
100,0.939818055,0.091029615,0.17827129,3.969800733
