t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.02944,-4.1094,-0.981112,-4.10215,-0.983809,1.00003,2.01094,0.0151366,0.00120465,-0.902934
0.02,1.0,2.02726,-4.10796,-0.980616,-4.09921,-0.982689,1.00015,2.00204,0.0132402,0.0110004,-0.894109
0.03,1.0,2.02335,-4.10163,-0.979158,-4.0909,-0.980977,1.00027,1.99314,0.0108513,0.011202,-0.892297
0.04,1.0,2.01754,-4.09148,-0.976821,-4.08097,-0.978278,1.00039,1.98416,0.00933026,0.0141746,-0.906005
0.05,1.0,2.0109,-4.07901,-0.973954,-4.06828,-0.975247,1.00049,1.97493,0.00798621,0.0144232,-0.94453
0.06,1.0,2.00397,-4.06494,-0.970729,-4.05151,-0.971935,1.00057,1.96538,0.00626003,0.00226206,-0.966534
0.07,1.0,1.99659,-4.04933,-0.967154,-4.03707,-0.968171,1.00055,1.95572,0.00475549,-0.0065605,-0.96052
0.08,1.0,1.98874,-4.03197,-0.963186,-4.01992,-0.964065,1.00052,1.9463,0.00320546,-0.00790823,-0.915155
0.09,1.0,1.98108,-4.01357,-0.958986,-3.99964,-0.959816,1.00045,1.93729,0.00145464,-0.00560023,-0.882479
0.1,1.0,1.97359,-3.99347,-0.9544,-3.98008,-0.955126,1.00042,1.92844,0.000295773,0.00328162,-0.886687
0.11,1.0,1.96725,-3.973,-0.949727,-3.95922,-0.950311,1.00046,1.91925,0.000203521,0.0105986,-0.954482
0.12,1.0,1.96205,-3.95178,-0.944883,-3.93853,-0.945444,1.00062,1.90932,4.77964e-05,0.0140592,-1.04275
0.13,1.0,1.95791,-3.93053,-0.940034,-3.91715,-0.940502,1.00079,1.89858,3.72846e-05,0.0195311,-1.12009
0.14,1.0,1.95438,-3.90755,-0.934785,-3.89251,-0.935245,1.00099,1.88741,3.22341e-05,0.0227301,-1.12269
0.15,1.0,1.95204,-3.88456,-0.929521,-3.87062,-0.929987,1.00118,1.87634,7.15604e-06,0.0239839,-1.08547
0.16,1.0,1.94952,-3.86208,-0.924399,-3.84869,-0.92482,1.00142,1.8658,1.75001e-05,0.0210987,-1.01289
0.17,1.0,1.94744,-3.83841,-0.919012,-3.82455,-0.919362,1.00165,1.85586,2.97798e-06,0.0237957,-0.972388
0.18,1.0,1.94614,-3.81394,-0.91341,-3.79896,-0.91375,1.00187,1.84618,8.07377e-06,0.0245054,-0.96548
0.19,1.0,1.94994,-3.78964,-0.907767,-3.77549,-0.908034,1.00215,1.83639,3.81506e-06,0.0271954,-0.993765
0.2,2.0,1.94452,-3.75997,-0.900774,-3.74572,-0.901275,1.00243,1.82635,5.91135e-06,0.0308743,-1.0135
0.21,2.0,1.93398,-3.72877,-0.893401,-3.71553,-0.893893,1.00273,1.8162,2.7302e-06,0.030726,-1.01614
0.22,2.0,1.92032,-3.69974,-0.88654,-3.6865,-0.887165,1.00309,1.8061,1.4972e-06,0.0351383,-1.00283
0.23,3.0,1.90079,-3.66987,-0.879492,-3.65631,-0.880195,1.00345,1.79616,4.02176e-06,0.0401555,-0.982337
0.24,3.0,1.88354,-3.63796,-0.871976,-3.62436,-0.872616,1.00385,1.78646,1.99383e-06,0.0426959,-0.954022
0.25,3.0,1.86864,-3.60314,-0.863775,-3.59017,-0.864455,1.00433,1.77699,2.4321e-06,0.0481871,-0.936909
0.26,2.0,1.85689,-3.5658,-0.854933,-3.55242,-0.85543,1.00483,1.76764,3.27478e-06,0.0541031,-0.933357
0.27,3.0,1.84572,-3.528,-0.845955,-3.51507,-0.84668,1.00537,1.75825,1.42687e-06,0.0564639,-0.944773
0.28,2.0,1.83667,-3.48985,-0.836894,-3.4785,-0.837616,1.006,1.74877,2.01302e-06,0.0624052,-0.950731
0.29,2.0,1.82903,-3.45131,-0.8277,-3.4396,-0.828499,1.00666,1.73925,1.29483e-06,0.0686297,-0.951417
0.3,2.0,1.82221,-3.41611,-0.819318,-3.40495,-0.820106,1.00735,1.72975,1.32098e-06,0.0752474,-0.949931
0.31,2.0,1.81485,-3.3829,-0.811465,-3.37275,-0.812637,1.00811,1.72023,1.28357e-06,0.0768902,-0.955421
0.32,2.0,1.80855,-3.35024,-0.803713,-3.33858,-0.805049,1.00895,1.71062,1.51021e-06,0.084474,-0.968582
0.33,2.0,1.80184,-3.31778,-0.796042,-3.30735,-0.797263,1.00985,1.70089,1.33526e-06,0.0925734,-0.978017
0.34,2.0,1.79511,-3.28589,-0.788492,-3.27489,-0.789867,1.01634,1.69108,2.20353e-06,1.29303,-0.985513
0.35,2.0,1.78873,-3.25326,-0.780765,-3.2449,-0.782644,1.02725,1.68122,1.94068e-06,0.72601,-0.986953
0.36,2.0,1.78386,-3.22067,-0.773036,-3.21066,-0.774873,1.03735,1.67137,2.22207e-06,0.852769,-0.983733
0.37,2.0,1.78065,-3.1882,-0.765323,-3.17918,-0.767551,1.04857,1.66157,2.28972e-06,0.982335,-0.975137
0.38,2.0,1.77502,-3.15551,-0.757549,-3.14737,-0.760077,1.06289,1.65187,2.2604e-06,0.96507,-0.964463
0.39,2.0,1.77057,-3.12126,-0.749418,-3.1146,-0.752109,1.06957,1.64226,2.40926e-06,0.673886,-0.955232
0.4,2.0,1.76514,-3.08729,-0.741329,-3.08094,-0.743445,1.08185,1.63273,2.30375e-06,1.24192,-0.94979
0.41,2.0,1.7612,-3.05412,-0.733462,-3.04691,-0.735447,1.09442,1.62322,2.3226e-06,0.905673,-0.951197
0.42,2.0,1.7555,-3.02019,-0.725392,-3.01694,-0.728462,1.10437,1.61369,2.37651e-06,1.08318,-0.954636
0.43,3.0,1.75283,-2.9862,-0.717302,-2.99067,-0.723291,1.11489,1.60411,2.28185e-06,1.13486,-0.961502
0.44,3.0,1.74265,-2.95661,-0.710252,-2.96111,-0.71624,1.12815,1.59447,2.30262e-06,1.4837,-0.9698
0.45,3.0,1.7333,-2.92634,-0.703044,-2.92778,-0.708091,1.14115,1.58473,2.29212e-06,0.79624,-0.979939
0.46,2.0,1.72359,-2.89799,-0.696287,-2.90249,-0.701938,1.17553,1.5749,2.234e-06,-0.0734882,-0.986692
0.47,2.0,1.71762,-2.87033,-0.689724,-2.87204,-0.694946,1.18916,1.56502,2.24589e-06,0.890853,-0.991157
0.48,2.0,1.70499,-2.83729,-0.68184,-2.8388,-0.686545,1.19293,1.55512,2.20929e-06,0.218118,-0.990111
0.49,2.0,1.69172,-2.79977,-0.672842,-2.80355,-0.677797,1.19204,1.54525,2.15957e-06,0.186501,-0.983585
0.5,2.0,1.67706,-2.76697,-0.664969,-2.77343,-0.671228,1.19507,1.53547,2.16234e-06,0.922243,-0.971872
0.51,2.0,1.66355,-2.74055,-0.658661,-2.74302,-0.664038,1.20805,1.52581,2.11518e-06,1.34336,-0.958791
0.52,2.0,1.65386,-2.70998,-0.651375,-2.71203,-0.655653,1.21939,1.51627,2.06949e-06,1.00881,-0.946463
0.53,2.0,1.64049,-2.68469,-0.645369,-2.68804,-0.650431,1.22911,1.50686,2.06565e-06,1.45544,-0.93512
0.54,2.0,1.62804,-2.65928,-0.639314,-2.66473,-0.644191,1.24007,1.49752,2.01317e-06,1.1606,-0.929718
0.55,2.0,1.61612,-2.63422,-0.63334,-2.63617,-0.637636,1.25069,1.48825,1.96983e-06,1.07331,-0.925472
0.56,2.0,1.60454,-2.60381,-0.626034,-2.60934,-0.63133,1.26112,1.479,1.96215e-06,1.04921,-0.924037
