t,n,ke,vcm,vc,vcm1,vc1,Rmax,Zmax,Zmin,vR,uH
0.0,1.0,2.05437,-4.12471,-0.977249,-4.12471,-0.988925,0.999963,2.0199,0.0200859,0.0,-0.438052
0.01,1.0,2.00166,-4.07609,-0.977736,-4.06023,-0.978703,0.99999,0.018048,0.018048,0.00188567,-0.0849114
0.02,1.0,2.00192,-4.08289,-0.974605,-4.06633,-0.975197,1.00003,2.00185,0.0175338,0.00416771,-0.916372
0.03,1.0,1.99319,-4.06901,-0.971293,-4.05146,-0.971797,1.00005,1.99261,0.0172682,0.00434731,-0.930164
0.04,1.0,1.98413,-4.05375,-0.967651,-4.03745,-0.96809,1.0001,1.98326,0.0170802,0.00412742,-0.940509
0.05,1.0,1.97466,-4.03696,-0.963644,-4.02049,-0.964089,1.00013,1.97381,0.0169324,0.00507093,-0.948249
0.06,1.0,1.96466,-4.01885,-0.95932,-4.00148,-0.959791,1.00018,1.96429,0.0168057,0.00621116,-0.954898
0.07,1.0,1.95414,-3.99918,-0.954626,-3.98224,-0.955119,1.00026,1.95472,0.0166958,0.00761211,-0.960063
0.08,1.0,1.94313,-3.97825,-0.949631,-3.96196,-0.950159,1.00032,1.94509,0.0165975,0.00927536,-0.964501
0.09,1.0,1.93165,-3.95604,-0.944331,-3.93923,-0.944909,1.00044,1.93543,0.0165107,0.0111172,-0.968062
0.1,1.0,1.91974,-3.93283,-0.938791,-3.91603,-0.939404,1.00056,1.92574,0.0158147,0.0132311,-0.970746
0.11,1.0,1.90757,-3.90898,-0.933109,-3.8923,-0.933536,1.00069,1.91602,0.0150763,0.0152197,-0.972872
0.12,1.0,1.89492,-3.88379,-0.927121,-3.86828,-0.92751,1.00087,1.90631,0.0144289,0.0177677,-0.974458
0.13,1.0,1.88187,-3.85755,-0.92089,-3.84246,-0.921227,1.00104,1.89653,0.0138366,0.0206458,-0.97551
0.14,1.0,1.8684,-3.83037,-0.91444,-3.81486,-0.91472,1.00127,1.88677,0.0133231,0.0229412,-0.976091
0.15,1.0,1.85467,-3.80246,-0.907818,-3.78713,-0.908032,1.00151,1.87701,0.0128759,0.0262896,-0.976052
0.16,1.0,1.84073,-3.77415,-0.901104,-3.75881,-0.901324,1.00176,1.86725,0.0124755,0.0299293,-0.976087
0.17,1.0,1.82666,-3.74523,-0.894202,-3.73095,-0.894422,1.0021,1.85749,0.0121165,0.0324651,-0.975501
0.18,1.0,1.81226,-3.7156,-0.887174,-3.70167,-0.887336,1.00244,1.84774,0.0117969,0.0366055,-0.974825
0.19,1.0,1.79768,-3.6854,-0.880056,-3.67036,-0.880199,1.00279,1.838,0.0115135,0.0392981,-0.974218
0.2,1.0,1.78301,-3.65492,-0.872824,-3.64027,-0.872978,1.00324,1.82826,0.0112656,0.0439141,-0.973175
0.21,1.0,1.7682,-3.62413,-0.865519,-3.60958,-0.865657,1.0037,1.81853,0.0110488,0.0488835,-0.972217
0.22,1.0,1.75328,-3.59277,-0.858077,-3.57724,-0.858181,1.00418,1.80881,0.0108408,0.0541715,-0.971126
0.23,1.0,1.73834,-3.56142,-0.850604,-3.54779,-0.850741,1.00475,1.79911,0.0106614,0.0573365,-0.969894
0.24,1.0,1.72319,-3.52959,-0.843081,-3.51547,-0.843167,1.00536,1.78941,0.0104911,0.063218,-0.968712
0.25,1.0,1.70804,-3.49739,-0.835438,-3.48363,-0.835539,1.006,1.77973,0.0103413,0.0694546,-0.967566
0.26,1.0,1.69283,-3.46512,-0.827775,-3.45132,-0.827852,1.00671,1.77006,0.0101963,0.0729485,-0.966215
0.27,1.0,1.67758,-3.43266,-0.820066,-3.41803,-0.820138,1.0075,1.7604,0.0100702,0.0798225,-0.96503
0.28,1.0,1.66231,-3.40004,-0.812316,-3.38604,-0.812394,1.00833,1.75076,0.00994598,0.0871683,-0.963477
0.29,1.0,1.64703,-3.36733,-0.804545,-3.35305,-0.804578,1.00921,1.74113,0.00983321,0.0950629,-0.962118
0.3,1.0,1.63172,-3.33444,-0.796729,-3.32034,-0.796726,1.01019,1.73152,0.00973202,0.0990582,-0.960773
0.31,1.0,1.61642,-3.30151,-0.788905,-3.28726,-0.788831,1.01125,1.72192,0.0096285,0.107705,-0.959227
0.32,1.0,1.60118,-3.26855,-0.781071,-3.25358,-0.781,1.01239,1.71233,0.00953509,0.116976,-0.957894
0.33,1.0,1.58591,-3.23556,-0.773226,-3.22053,-0.773294,1.0136,1.70276,0.00945014,0.126875,-0.956421
0.34,1.0,1.57065,-3.2025,-0.765364,-3.18641,-0.765321,1.01491,0.015301,0.00936553,0.13749,-0.0039399
0.35,1.0,1.5554,-3.16927,-0.757463,-3.15631,-0.757476,1.01632,1.68365,0.00928537,0.149209,-0.954165
0.36,1.0,1.54023,-3.13616,-0.749567,-3.12225,-0.749567,1.01782,1.67411,0.00921175,0.161702,-0.951918
0.37,1.0,1.525,-3.10292,-0.74168,-3.0916,-0.741692,1.01946,1.66461,0.00914367,0.175114,-0.950057
0.38,1.0,1.50987,-3.06981,-0.733804,-3.05739,-0.733816,1.02123,1.65511,0.00907393,0.189499,-0.948474
0.39,1.0,1.49473,-3.03674,-0.725932,-3.02492,-0.726054,1.02863,1.64564,0.00900837,1.21389,-0.9469
0.4,1.0,1.47964,-3.00371,-0.718064,-2.99072,-0.71807,1.04058,1.63618,0.00894722,1.1901,-0.944472
0.41,1.0,1.46456,-2.97055,-0.71018,-2.95748,-0.710049,1.05234,1.62674,0.00888991,1.16828,-0.94323
0.42,1.0,1.44953,-2.9375,-0.702312,-2.92338,-0.70228,1.06392,1.61731,0.00883341,1.14614,-0.942101
